CONTESTO,FRASE,REF,ORIGINALE,TRADUZIONE AUTOMATICA GT,REF2,ACCORDO,TRADUZIONE CON CONTESTO,REF2,ACCORDO
"She is married to Ghanaian Broadcaster and fashion designer, Kofi Okyere Darko (KOD) and they have two daughters. <sep> ",Womenswear designer of the Year at the 2018 Glitz Style Awards,F,Designerin des Jahres für Frauenmode bei den Glitz Style Awards 2018.,Womenswear Designer of the Year bei den Glitz Style Awards 2018,N/D,A,Sie ist mit dem ghanaischen Sender und Modedesigner Kofi Okyere Darko (KOD) verheiratet und sie haben zwei Töchter. <sep> Womenswear Designer of the Year bei den Glitz Style Awards 2018,N/D,A
Coordinates: 55.035°N 7.284°W Thornhill College is a Roman Catholic grammar school for girls. <sep> ,It has a student population of approximately 1500 and a staff of 100 teachers.,F,Es gibt etwa 1500 Schülerinnen und 100 Lehrkräfte.,Es hat eine Studentenbevölkerung von ungefähr 1500 und einen Stab von 100 Lehrern.,N/D,A,Koordinaten: 55.035°N 7.284°W Thornhill College ist ein römisch-katholisches Gymnasium für Mädchen. <sep> Sie hat ungefähr 1500 Studenten und 100 Lehrer.,M,N
Much of his time was taken up with the problems of bringing the V-bombers into service. <sep> ,Beetham's next appointment was as the Personal Staff Officer to Task Force Commander of Operation Buffalo in 1956.,M,Beethams nächste Ernennung war die zum persönlichen Stabsoffizier des Befehlshabers der Operation Buffalo im Jahr 1956.,Beethams nächste Ernennung erfolgte 1956 als Personal Staff Officer des Task Force Commander der Operation Buffalo.,N/D,A,"Ein Großteil seiner Zeit wurde mit den Problemen in Anspruch genommen, die V-Bomber in Dienst zu stellen. <sep> Beethams nächste Ernennung erfolgte 1956 als Personal Staff Officer des Task Force Commander der Operation Buffalo.",N/D,A
"Although details of his early life are scant, he lost his father and brother sometime in the Mexican War of Independence and fled to the United States where he became fluent in the English language. <sep> ",Mexía became active in government service as Secretary of State for Tamaulipas and the Tuxpan customs collector.,M,Mexía wurde Staatssekretär für Tamaulipas und Steuereintreiber von Tuxpan.,Mexía wurde im Staatsdienst als Außenministerin für Tamaulipas und den Zolleintreiber von Tuxpan tätig.,N/D,A,"Obwohl Details über sein frühes Leben spärlich sind, verlor er irgendwann im mexikanischen Unabhängigkeitskrieg seinen Vater und seinen Bruder und floh in die Vereinigten Staaten, wo er fließend Englisch sprach. <sep> Mexía wurde im Staatsdienst als Außenministerin für Tamaulipas und den Zolleintreiber von Tuxpan aktiv.",N/D,A
"In 1971, Cleaver was hired as an assistant professor at the Université de Sherbrooke in Montreal, Quebec where he taught for three years, finished his dissertation, and studied Québécois nationalism. <sep> ","From 1974 to 1976, Cleaver was a visiting assistant professor at the New School for Social Research in the department of economics.",M,Von 1974 bis 1976 war Cleaver ein Assistenz-Gastprofessor an der New School for Social Research an der Wirtschaftsfakultät.,Von 1974 bis 1976 war Cleaver Visiting Assistant Professor an der New School for Social Research im Fachbereich Wirtschaftswissenschaften.,N/D,A,"1971 wurde Cleaver als Assistenzprofessor an die Université de Sherbrooke in Montreal, Quebec, eingestellt, wo er drei Jahre lang lehrte, seine Dissertation abschloss und den Québecischen Nationalismus studierte. <sep> Von 1974 bis 1976 war Cleaver Visiting Assistant Professor an der New School for Social Research im Fachbereich Wirtschaftswissenschaften.",N/D,A
"He continued to write his weekly Slackjaw column for Philadelphia's Welcomat and tried to get the editor of the alternative weekly New York Press, John Strausbaugh, interested in publishing Slackjaw, but the Press did not want to share the column with the Welcomat. <sep> ","Shortly thereafter Knipfel became a receptionist at the paper's offices, and later a full-time columnist and staff writer.",M,Kurz darauf wurde Knipfel Rezeptionist bei dieser Zeitung und arbeitete später dort als Kolumnist und Redakteur in Vollzeit.,Kurz darauf wurde Knipfel Empfangsdame in den Büros der Zeitung und später hauptberuflicher Kolumnist und festangestellter Autor.,N/D,A,"Er schrieb weiterhin seine wöchentliche Slackjaw-Kolumne für Philadelphias Welcomat und versuchte, den Herausgeber der alternativen Wochenzeitung New York Press, John Strausbaugh, für die Veröffentlichung von Slackjaw zu interessieren, aber die Presse wollte die Kolumne nicht mit Welcomat teilen. <sep> Kurz danach wurde Knipfel Empfangsdame im Büro der Zeitung und später hauptberuflicher Kolumnist und festangestellter Autor.",N/D,A
"He specialized in cotton and rubber plants and the classification of palms, particularly the palms of Hispaniola. <sep> ",Cook served as Honorary Assistant Curator of Cryptogamic Collections at the United States National Herbarium from 1898 until 1948.,M,Cook war von 1898 bis 1948 als Honorar-Assistenz-Kurator der Kryptogamen Sammlung am United States National Herbarium tätig.,Cook diente von 1898 bis 1948 als Honorary Assistant Curator of Cryptogamic Collections am United States National Herbarium.,N/D,A,"Er spezialisierte sich auf Baumwoll- und Gummipflanzen und die Klassifizierung von Palmen, insbesondere der Palmen von Hispaniola. <sep> Cook diente von 1898 bis 1948 als Honorary Assistant Curator of Cryptogamic Collections am United States National Herbarium.",N/D,A
"This worked continued until 1955, when she took up a post at Grosvenor Museum, Chester. <sep> ",Pirie was appointed Assistant Curator at the Grosvenor Museum in 1955.,F,Pirie wurde 1955 Assistenzkuratorin am Grosvenor Museum.,Pirie wurde 1955 zum Assistant Curator am Grosvenor Museum ernannt.,N/D,A,"Diese Arbeit dauerte bis 1955, als sie eine Stelle im Grosvenor Museum in Chester antrat. <sep> Pirie wurde 1955 zum stellvertretenden Kurator des Grosvenor Museum ernannt.",M,N
Critics saw the character as being a degradation for Barrett compared to her first character. <sep> ,"While the position of nurse was seen as a stereotype, the character's promotion to doctor was praised.",F,"Während die Rolle als Krankenschwester für Stereotyp gehalten wurde, erhielt die Beförderung der Figur zur Ärztin Lob.","Während die Position der Krankenschwester als Stereotyp angesehen wurde, wurde die Beförderung der Figur zum Arzt gelobt.",N/D,A,"Kritiker sahen in der Figur eine Erniedrigung für Barrett im Vergleich zu ihrer ersten Figur. <sep> Während die Position der Krankenschwester als Stereotyp angesehen wurde, wurde die Beförderung der Figur zum Arzt gelobt.",N/D,A
"In 2003, Baginski left her position at the NSA to become the executive assistant director of Intelligence at the FBI. <sep> ","As the executive assistant director of Intelligence at the FBI between 2003-2005, Baginski successfully led the bureau's first-ever intelligence program.",F,Als stellvertretende Direktorin für Nachrichtendienste beim FBI in den Jahren 2003 - 2005 leitet Baginski erfolgreich das allererste Nachrichtendienstprogramm des FBI.,Als Executive Assistant Director of Intelligence beim FBI zwischen 2003 und 2005 leitete Baginski erfolgreich das allererste Geheimdienstprogramm des FBI.,N/D,A,"2003 gab Baginski ihre Position bei der NSA auf, um Executive Assistant Director of Intelligence beim FBI zu werden. <sep> Als Executive Assistant Director of Intelligence beim FBI zwischen 2003 und 2005 leitete Baginski erfolgreich das allererste Geheimdienstprogramm des FBI.",N/D,A
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,conteggio degli ACCORDI NO da origne F a output M ($),0,,,,,,,
,conteggio degli ACCORDI SI da origine F a output F (-),0,,,,,,,
,conteggio degli ACCORDI A da origine F a output N/D (/),0,,,,,,,